Ready to connect
Subscribed (mid: 1): 0
Time result: 0.000001789 seconds.
Time result: 0.000000895 seconds.
Time result: 0.000000939 seconds.
Time result: 0.000000688 seconds.
Time result: 0.000001528 seconds.
Time result: 0.000000927 seconds.
Time result: 0.000000748 seconds.
Time result: 0.000000997 seconds.
Time result: 0.000001207 seconds.
Time result: 0.000000905 seconds.
Time result: 0.000001150 seconds.
Time result: 0.000000758 seconds.
Time result: 0.000000978 seconds.
Time result: 0.000000725 seconds.
Time result: 0.000017253 seconds.
Time result: 0.000014521 seconds.
Time result: 0.000011712 seconds.
Time result: 0.000009529 seconds.
Time result: 0.000006825 seconds.
Time result: 0.000004020 seconds.
Time result: 0.000001643 seconds.
Time result: 0.000000891 seconds.
Time result: 0.000000964 seconds.
Time result: 0.000017118 seconds.
Time result: 0.000014180 seconds.
Time result: 0.000011563 seconds.
Time result: 0.000008910 seconds.
Time result: 0.000006580 seconds.
Time result: 0.000004171 seconds.
Time result: 0.000001964 seconds.
Time result: 0.000000604 seconds.
Time result: 0.000000590 seconds.
Time result: 0.000000586 seconds.
Time result: 0.000000620 seconds.
Time result: 0.000000855 seconds.
Time result: 0.000000657 seconds.
Time result: 0.000001113 seconds.
Time result: 0.000000782 seconds.
Time result: 0.000000793 seconds.
Time result: 0.000000743 seconds.
Time result: 0.000001348 seconds.
Time result: 0.000002018 seconds.
Time result: 0.000001574 seconds.
Time result: 0.000000882 seconds.
Time result: 0.000000911 seconds.
Time result: 0.000001158 seconds.
Time result: 0.000001099 seconds.
Time result: 0.000001227 seconds.
Time result: 0.000001065 seconds.
Time result: 0.000000777 seconds.
Time result: 0.000000759 seconds.
Time result: 0.000001206 seconds.
Time result: 0.000001110 seconds.
Time result: 0.000000764 seconds.
Time result: 0.000034037 seconds.
Time result: 0.000030714 seconds.
Time result: 0.000028501 seconds.
Time result: 0.000026093 seconds.
Time result: 0.000023671 seconds.
Time result: 0.000021512 seconds.
Time result: 0.000018634 seconds.
Time result: 0.000016390 seconds.
Time result: 0.000014090 seconds.
Time result: 0.000011062 seconds.
Time result: 0.000008848 seconds.
Time result: 0.000005012 seconds.
Time result: 0.000002517 seconds.
Time result: 0.000002116 seconds.
Time result: 0.000001086 seconds.
Time result: 0.000032798 seconds.
Time result: 0.000030505 seconds.
Time result: 0.000028119 seconds.
Time result: 0.000025445 seconds.
Time result: 0.000023100 seconds.
Time result: 0.000020270 seconds.
Time result: 0.000017962 seconds.
Time result: 0.000015360 seconds.
Time result: 0.000012426 seconds.
Time result: 0.000010209 seconds.
Time result: 0.000007700 seconds.
Time result: 0.000005309 seconds.
Time result: 0.000003065 seconds.
Time result: 0.000000732 seconds.
Time result: 0.000001373 seconds.
Time result: 0.000034633 seconds.
Time result: 0.000032235 seconds.
Time result: 0.000029716 seconds.
Time result: 0.000026739 seconds.
Time result: 0.000024164 seconds.
Time result: 0.000021812 seconds.
Time result: 0.000018278 seconds.
Time result: 0.000015899 seconds.
Time result: 0.000013498 seconds.
Time result: 0.000010895 seconds.
Time result: 0.000007959 seconds.
Time result: 0.000005407 seconds.
Time result: 0.000002902 seconds.
Time result: 0.000000881 seconds.
Time result: 0.000000783 seconds.
Time result: 0.000033316 seconds.
Time result: 0.000030525 seconds.
Time result: 0.000027637 seconds.
Time result: 0.000025365 seconds.
Time result: 0.000022895 seconds.
Time result: 0.000020066 seconds.
Time result: 0.000017595 seconds.
Time result: 0.000014944 seconds.
Time result: 0.000012586 seconds.
Time result: 0.000010050 seconds.
Time result: 0.000007516 seconds.
Time result: 0.000005284 seconds.
Time result: 0.000002844 seconds.
Time result: 0.000000628 seconds.
Time result: 0.000001762 seconds.
Time result: 0.000036015 seconds.
Time result: 0.000032992 seconds.
Time result: 0.000029026 seconds.
Time result: 0.000026190 seconds.
Time result: 0.000023680 seconds.
Time result: 0.000021378 seconds.
Time result: 0.000019095 seconds.
Time result: 0.000016090 seconds.
Time result: 0.000013249 seconds.
Time result: 0.000010602 seconds.
Time result: 0.000008258 seconds.
Time result: 0.000005855 seconds.
Time result: 0.000003191 seconds.
Time result: 0.000000842 seconds.
Time result: 0.000000789 seconds.
Time result: 0.999032556 seconds.
Time result: 0.999029875 seconds.
Time result: 0.999027056 seconds.
Time result: 0.999024953 seconds.
Time result: 0.999022707 seconds.
Time result: 0.999019617 seconds.
Time result: 0.999017353 seconds.
Time result: 0.999014898 seconds.
Time result: 0.999012712 seconds.
Time result: 0.999010316 seconds.
Time result: 0.000007572 seconds.
Time result: 0.000005097 seconds.
Time result: 0.000002554 seconds.
Time result: 0.000000824 seconds.
Time result: 0.000001094 seconds.
Time result: 0.000000933 seconds.
Time result: 0.000034675 seconds.
Time result: 0.000032090 seconds.
Time result: 0.000029907 seconds.
Time result: 0.000027351 seconds.
Time result: 0.000024505 seconds.
Time result: 0.000021835 seconds.
Time result: 0.000019042 seconds.
Time result: 0.000016088 seconds.
Time result: 0.000013757 seconds.
Time result: 0.000011215 seconds.
Time result: 0.000008855 seconds.
Time result: 0.000006295 seconds.
Time result: 0.000003998 seconds.
Time result: 0.000001377 seconds.
Time result: 0.000000745 seconds.
Time result: 0.000034621 seconds.
Time result: 0.000031635 seconds.
Time result: 0.000028668 seconds.
Time result: 0.000025463 seconds.
Time result: 0.000022902 seconds.
Time result: 0.000019723 seconds.
Time result: 0.000017237 seconds.
Time result: 0.000014630 seconds.
Time result: 0.000012283 seconds.
Time result: 0.000009919 seconds.
Time result: 0.000007619 seconds.
Time result: 0.000005248 seconds.
Time result: 0.000002765 seconds.
Time result: 0.000001161 seconds.
Time result: 0.000000930 seconds.
Time result: 0.000034650 seconds.
Time result: 0.000032256 seconds.
Time result: 0.000029706 seconds.
Time result: 0.000027002 seconds.
Time result: 0.000024597 seconds.
Time result: 0.000021619 seconds.
Time result: 0.000018786 seconds.
Time result: 0.000015678 seconds.
Time result: 0.000013013 seconds.
Time result: 0.000010591 seconds.
Time result: 0.000008268 seconds.
Time result: 0.000005592 seconds.
Time result: 0.000002765 seconds.
Time result: 0.000000627 seconds.
Time result: 0.000000682 seconds.
Time result: 0.000033236 seconds.
Time result: 0.000030532 seconds.
Time result: 0.000027665 seconds.
Time result: 0.000024105 seconds.
Time result: 0.000021960 seconds.
Time result: 0.000019469 seconds.
Time result: 0.000017094 seconds.
Time result: 0.000014816 seconds.
Time result: 0.000012265 seconds.
Time result: 0.000009885 seconds.
Time result: 0.000007544 seconds.
Time result: 0.000004760 seconds.
Time result: 0.000002438 seconds.
Time result: 0.000000867 seconds.
Time result: 0.000000810 seconds.
Time result: 0.000033843 seconds.
Time result: 0.000030520 seconds.
Time result: 0.000027897 seconds.
Time result: 0.000025153 seconds.
Time result: 0.000022868 seconds.
Time result: 0.000020245 seconds.
Time result: 0.000017836 seconds.
Time result: 0.000015578 seconds.
Time result: 0.000012720 seconds.
Time result: 0.000010335 seconds.
Time result: 0.000007718 seconds.
Time result: 0.000005068 seconds.
Time result: 0.000002695 seconds.
Time result: 0.000001315 seconds.
Time result: 0.000000759 seconds.
Time result: 0.000034458 seconds.
Time result: 0.000032049 seconds.
Time result: 0.000029536 seconds.
Time result: 0.000027335 seconds.
Time result: 0.000025018 seconds.
Time result: 0.000022528 seconds.
Time result: 0.000019655 seconds.
Time result: 0.000017064 seconds.
Time result: 0.000013968 seconds.
Time result: 0.000011219 seconds.
Time result: 0.000008841 seconds.
Time result: 0.000006047 seconds.
Time result: 0.000003681 seconds.
Time result: 0.000000633 seconds.
Time result: 0.000001048 seconds.
Time result: 0.000033167 seconds.
Time result: 0.000030285 seconds.
Time result: 0.000027552 seconds.
Time result: 0.000025148 seconds.
Time result: 0.000022680 seconds.
Time result: 0.000019958 seconds.
Time result: 0.000017734 seconds.
Time result: 0.000015362 seconds.
Time result: 0.000012923 seconds.
Time result: 0.000010658 seconds.
Time result: 0.000007819 seconds.
Time result: 0.000005325 seconds.
Time result: 0.000002851 seconds.
Time result: 0.000000799 seconds.
Time result: 0.000000758 seconds.
Time result: 0.000036238 seconds.
Time result: 0.000033623 seconds.
Time result: 0.000030266 seconds.
Time result: 0.000027928 seconds.
Time result: 0.000024640 seconds.
Time result: 0.000021982 seconds.
Time result: 0.000019556 seconds.
Time result: 0.000017029 seconds.
Time result: 0.000014082 seconds.
Time result: 0.000011346 seconds.
Time result: 0.000008952 seconds.
Time result: 0.000006675 seconds.
Time result: 0.000003263 seconds.
Time result: 0.000001827 seconds.
Time result: 0.000000865 seconds.
Time result: 0.000034110 seconds.
Time result: 0.000031473 seconds.
Time result: 0.000028673 seconds.
Time result: 0.000026139 seconds.
Time result: 0.000023868 seconds.
Time result: 0.000021350 seconds.
Time result: 0.000019189 seconds.
Time result: 0.000015068 seconds.
Time result: 0.000012746 seconds.
Time result: 0.000009981 seconds.
Time result: 0.000007453 seconds.
Time result: 0.000005270 seconds.
Time result: 0.000002824 seconds.
Time result: 0.000000809 seconds.
Time result: 0.000000935 seconds.
Time result: 0.000034891 seconds.
Time result: 0.000031948 seconds.
Time result: 0.000029421 seconds.
Time result: 0.000027178 seconds.
Time result: 0.000024565 seconds.
Time result: 0.000022397 seconds.
Time result: 0.000019791 seconds.
Time result: 0.000016856 seconds.
Time result: 0.000013745 seconds.
Time result: 0.000010676 seconds.
Time result: 0.000008272 seconds.
Time result: 0.000006017 seconds.
Time result: 0.000003186 seconds.
Time result: 0.000000717 seconds.
Time result: 0.000001852 seconds.
Time result: 0.000031460 seconds.
Time result: 0.000029134 seconds.
Time result: 0.000026739 seconds.
Time result: 0.000024265 seconds.
Time result: 0.000021919 seconds.
Time result: 0.000019687 seconds.
Time result: 0.000017085 seconds.
Time result: 0.000014499 seconds.
Time result: 0.000012174 seconds.
Time result: 0.000009823 seconds.
Time result: 0.000007413 seconds.
Time result: 0.000005074 seconds.
Time result: 0.000002549 seconds.
Time result: 0.000001202 seconds.
Time result: 0.000000622 seconds.
Time result: 0.000035212 seconds.
Time result: 0.000032252 seconds.
Time result: 0.000029165 seconds.
Time result: 0.000025870 seconds.
Time result: 0.000023038 seconds.
Time result: 0.000020433 seconds.
Time result: 0.000018102 seconds.
Time result: 0.000015648 seconds.
Time result: 0.000013130 seconds.
Time result: 0.000010757 seconds.
Time result: 0.000008339 seconds.
Time result: 0.000006195 seconds.
Time result: 0.000003551 seconds.
Time result: 0.000000766 seconds.
Time result: 0.000000648 seconds.
Time result: 0.000034643 seconds.
Time result: 0.000032306 seconds.
Time result: 0.000029879 seconds.
Time result: 0.000027346 seconds.
Time result: 0.000023633 seconds.
Time result: 0.000021328 seconds.
Time result: 0.000018591 seconds.
Time result: 0.000015711 seconds.
Time result: 0.000013082 seconds.
Time result: 0.000010306 seconds.
Time result: 0.000007691 seconds.
Time result: 0.000005025 seconds.
Time result: 0.000002856 seconds.
Time result: 0.000000794 seconds.
Time result: 0.000000831 seconds.
Time result: 0.000033314 seconds.
Time result: 0.000030192 seconds.
Time result: 0.000027621 seconds.
Time result: 0.000024656 seconds.
Time result: 0.000022225 seconds.
Time result: 0.000019763 seconds.
Time result: 0.000017336 seconds.
Time result: 0.000014692 seconds.
Time result: 0.000012263 seconds.
Time result: 0.000009766 seconds.
Time result: 0.000007626 seconds.
Time result: 0.000005092 seconds.
Time result: 0.000002833 seconds.
Time result: 0.000000764 seconds.
Time result: 0.000000716 seconds.
Time result: 0.000036239 seconds.
Time result: 0.000033837 seconds.
Time result: 0.000031024 seconds.
Time result: 0.000028580 seconds.
Time result: 0.000026254 seconds.
Time result: 0.000022204 seconds.
Time result: 0.000019810 seconds.
Time result: 0.000016879 seconds.
Time result: 0.000013646 seconds.
Time result: 0.000011333 seconds.
Time result: 0.000008665 seconds.
Time result: 0.000006181 seconds.
Time result: 0.000003277 seconds.
Time result: 0.000000729 seconds.
Time result: 0.000002745 seconds.
Time result: 0.000035639 seconds.
Time result: 0.000033038 seconds.
Time result: 0.000030614 seconds.
Time result: 0.000028007 seconds.
Time result: 0.000025705 seconds.
Time result: 0.000022540 seconds.
Time result: 0.000019846 seconds.
Time result: 0.000016557 seconds.
Time result: 0.000013659 seconds.
Time result: 0.000011093 seconds.
Time result: 0.000007948 seconds.
Time result: 0.000005387 seconds.
Time result: 0.000002550 seconds.
Time result: 0.000000804 seconds.
Time result: 0.000001339 seconds.
Time result: 0.000035389 seconds.
Time result: 0.000032294 seconds.
Time result: 0.000030033 seconds.
Time result: 0.000027559 seconds.
Time result: 0.000024706 seconds.
Time result: 0.000021084 seconds.
Time result: 0.000018650 seconds.
Time result: 0.000016010 seconds.
Time result: 0.000013028 seconds.
Time result: 0.000010709 seconds.
Time result: 0.000008076 seconds.
Time result: 0.000005120 seconds.
Time result: 0.000002737 seconds.
Time result: 0.000001157 seconds.
Time result: 0.000000784 seconds.
Time result: 0.000033429 seconds.
Time result: 0.000031039 seconds.
Time result: 0.000028505 seconds.
Time result: 0.000026233 seconds.
Time result: 0.000023901 seconds.
Time result: 0.000021283 seconds.
Time result: 0.000018673 seconds.
Time result: 0.000016184 seconds.
Time result: 0.000013516 seconds.
Time result: 0.000010733 seconds.
Time result: 0.000007956 seconds.
Time result: 0.000005538 seconds.
Time result: 0.000002424 seconds.
Time result: 0.000001332 seconds.
Time result: 0.000000671 seconds.
Time result: 0.000034174 seconds.
Time result: 0.000031693 seconds.
Time result: 0.000029459 seconds.
Time result: 0.000027086 seconds.
Time result: 0.000024640 seconds.
Time result: 0.000022196 seconds.
Time result: 0.000019257 seconds.
Time result: 0.000016756 seconds.
Time result: 0.000013996 seconds.
Time result: 0.000011352 seconds.
Time result: 0.000008290 seconds.
Time result: 0.000005728 seconds.
Time result: 0.000002871 seconds.
Time result: 0.000000581 seconds.
Time result: 0.000001080 seconds.
Time result: 0.000034821 seconds.
Time result: 0.000032309 seconds.
Time result: 0.000029760 seconds.
Time result: 0.000026870 seconds.
Time result: 0.000024318 seconds.
Time result: 0.000021486 seconds.
Time result: 0.000018364 seconds.
Time result: 0.000016056 seconds.
Time result: 0.000013396 seconds.
Time result: 0.000010866 seconds.
Time result: 0.000008065 seconds.
Time result: 0.000005405 seconds.
Time result: 0.000002897 seconds.
Time result: 0.000001126 seconds.
Time result: 0.000000861 seconds.
Time result: 0.000035176 seconds.
Time result: 0.000032706 seconds.
Time result: 0.000030033 seconds.
Time result: 0.000027560 seconds.
Time result: 0.000025092 seconds.
Time result: 0.000022511 seconds.
Time result: 0.000019234 seconds.
Time result: 0.000016328 seconds.
Time result: 0.000013602 seconds.
Time result: 0.000010759 seconds.
Time result: 0.000008016 seconds.
Time result: 0.000005253 seconds.
Time result: 0.000002924 seconds.
Time result: 0.000000875 seconds.
Time result: 0.000000632 seconds.
Time result: 0.000035187 seconds.
Time result: 0.000032766 seconds.
Time result: 0.000030105 seconds.
Time result: 0.000027524 seconds.
Time result: 0.000025139 seconds.
Time result: 0.000022104 seconds.
Time result: 0.000018541 seconds.
Time result: 0.000015653 seconds.
Time result: 0.000013363 seconds.
Time result: 0.000010415 seconds.
Time result: 0.000007921 seconds.
Time result: 0.000005197 seconds.
Time result: 0.000002486 seconds.
Time result: 0.000000687 seconds.
Time result: 0.000001268 seconds.
Time result: 0.000036652 seconds.
Time result: 0.000033567 seconds.
Time result: 0.000030775 seconds.
Time result: 0.000028383 seconds.
Time result: 0.000024795 seconds.
Time result: 0.000022123 seconds.
Time result: 0.000019680 seconds.
Time result: 0.000016544 seconds.
Time result: 0.000014039 seconds.
Time result: 0.000011185 seconds.
Time result: 0.000008138 seconds.
Time result: 0.000005591 seconds.
Time result: 0.000003162 seconds.
Time result: 0.000001372 seconds.
Time result: 0.000000732 seconds.
Time result: 0.999034786 seconds.
Time result: 0.999031624 seconds.
Time result: 0.999029173 seconds.
Time result: 0.999026703 seconds.
Time result: 0.999023606 seconds.
Time result: 0.000020858 seconds.
Time result: 0.000017784 seconds.
Time result: 0.000015128 seconds.
Time result: 0.000012667 seconds.
Time result: 0.000010522 seconds.
Time result: 0.000007811 seconds.
Time result: 0.000005395 seconds.
Time result: 0.000002585 seconds.
Time result: 0.000000821 seconds.
Time result: 0.000000972 seconds.
Time result: 0.000037379 seconds.
Time result: 0.000034037 seconds.
Time result: 0.000031406 seconds.
Time result: 0.000028949 seconds.
Time result: 0.000026453 seconds.
Time result: 0.000023589 seconds.
Time result: 0.000021228 seconds.
Time result: 0.000018126 seconds.
Time result: 0.000014660 seconds.
Time result: 0.000012085 seconds.
Time result: 0.000009609 seconds.
Time result: 0.000006453 seconds.
Time result: 0.000002603 seconds.
Time result: 0.000000861 seconds.
Time result: 0.000000673 seconds.
Time result: 0.000038154 seconds.
Time result: 0.000035327 seconds.
Time result: 0.000032378 seconds.
Time result: 0.000029303 seconds.
Time result: 0.000026817 seconds.
Time result: 0.000023803 seconds.
Time result: 0.000020631 seconds.
Time result: 0.000017861 seconds.
Time result: 0.000014858 seconds.
Time result: 0.000011667 seconds.
Time result: 0.000008377 seconds.
Time result: 0.000005034 seconds.
Time result: 0.000002493 seconds.
Time result: 0.000000860 seconds.
Time result: 0.000000566 seconds.
Time result: 0.000034169 seconds.
Time result: 0.000031574 seconds.
Time result: 0.000028758 seconds.
Time result: 0.000026137 seconds.
Time result: 0.000023297 seconds.
Time result: 0.000020189 seconds.
Time result: 0.000017562 seconds.
Time result: 0.000015005 seconds.
Time result: 0.000012736 seconds.
Time result: 0.000010043 seconds.
Time result: 0.000007828 seconds.
Time result: 0.000004849 seconds.
Time result: 0.000002676 seconds.
Time result: 0.000001020 seconds.
Time result: 0.000001024 seconds.
Time result: 0.000032962 seconds.
Time result: 0.000030173 seconds.
Time result: 0.000027342 seconds.
Time result: 0.000024605 seconds.
Time result: 0.000022166 seconds.
Time result: 0.000019938 seconds.
Time result: 0.000017744 seconds.
Time result: 0.000015293 seconds.
Time result: 0.000012932 seconds.
Time result: 0.000010231 seconds.
Time result: 0.000007658 seconds.
Time result: 0.000005380 seconds.
Time result: 0.000002786 seconds.
Time result: 0.000001152 seconds.
Time result: 0.000000659 seconds.
Time result: 0.000035622 seconds.
Time result: 0.000032984 seconds.
Time result: 0.000030257 seconds.
Time result: 0.000027720 seconds.
Time result: 0.000024965 seconds.
Time result: 0.000022381 seconds.
Time result: 0.000019957 seconds.
Time result: 0.000017159 seconds.
Time result: 0.000014605 seconds.
Time result: 0.000012202 seconds.
Time result: 0.000009658 seconds.
Time result: 0.000006357 seconds.
Time result: 0.000003143 seconds.
Time result: 0.000000774 seconds.
Time result: 0.000000803 seconds.
Time result: 0.000035055 seconds.
Time result: 0.000032586 seconds.
Time result: 0.000030046 seconds.
Time result: 0.000027614 seconds.
Time result: 0.000024748 seconds.
Time result: 0.000022435 seconds.
Time result: 0.000019353 seconds.
Time result: 0.000016637 seconds.
Time result: 0.000013376 seconds.
Time result: 0.000010705 seconds.
Time result: 0.000008167 seconds.
Time result: 0.000005470 seconds.
Time result: 0.000003046 seconds.
Time result: 0.000000714 seconds.
Time result: 0.000000940 seconds.
Time result: 0.000034896 seconds.
Time result: 0.000032464 seconds.
Time result: 0.000029971 seconds.
Time result: 0.000027772 seconds.
Time result: 0.000025143 seconds.
Time result: 0.000022853 seconds.
Time result: 0.000020184 seconds.
Time result: 0.000017912 seconds.
Time result: 0.000015211 seconds.
Time result: 0.000011838 seconds.
Time result: 0.000008683 seconds.
Time result: 0.000005545 seconds.
Time result: 0.000003090 seconds.
Time result: 0.000000865 seconds.
Time result: 0.000001300 seconds.
Time result: 0.000035399 seconds.
Time result: 0.000032369 seconds.
Time result: 0.000029911 seconds.
Time result: 0.000027076 seconds.
Time result: 0.000024594 seconds.
Time result: 0.000021849 seconds.
Time result: 0.000018944 seconds.
Time result: 0.000016557 seconds.
Time result: 0.000013922 seconds.
Time result: 0.000010762 seconds.
Time result: 0.000007912 seconds.
Time result: 0.000005511 seconds.
Time result: 0.000002674 seconds.
Time result: 0.000000708 seconds.
Time result: 0.000001175 seconds.
Time result: 0.000036076 seconds.
Time result: 0.000033060 seconds.
Time result: 0.000029805 seconds.
Time result: 0.000026930 seconds.
Time result: 0.000024491 seconds.
Time result: 0.000021783 seconds.
Time result: 0.000018567 seconds.
Time result: 0.000016222 seconds.
Time result: 0.000013826 seconds.
Time result: 0.000011417 seconds.
Time result: 0.000008434 seconds.
Time result: 0.000005712 seconds.
Time result: 0.000003190 seconds.
Time result: 0.000000993 seconds.
Time result: 0.000001253 seconds.
Time result: 0.000037805 seconds.
Time result: 0.000034677 seconds.
Time result: 0.000032005 seconds.
Time result: 0.000028257 seconds.
Time result: 0.000024785 seconds.
Time result: 0.000021539 seconds.
Time result: 0.000018930 seconds.
Time result: 0.000016029 seconds.
Time result: 0.000013064 seconds.
Time result: 0.000010480 seconds.
Time result: 0.000008057 seconds.
Time result: 0.000005274 seconds.
Time result: 0.000002459 seconds.
Time result: 0.000001613 seconds.
Time result: 0.000001374 seconds.
Time result: 0.000036027 seconds.
Time result: 0.000032793 seconds.
Time result: 0.000030107 seconds.
Time result: 0.000026980 seconds.
Time result: 0.000024211 seconds.
Time result: 0.000021670 seconds.
Time result: 0.000019382 seconds.
Time result: 0.000016954 seconds.
Time result: 0.000014435 seconds.
Time result: 0.000012123 seconds.
Time result: 0.000009470 seconds.
Time result: 0.000005176 seconds.
Time result: 0.000002563 seconds.
Time result: 0.000001266 seconds.
Time result: 0.000000622 seconds.
Time result: 0.000033897 seconds.
Time result: 0.000031547 seconds.
Time result: 0.000029299 seconds.
Time result: 0.000026579 seconds.
Time result: 0.000023675 seconds.
Time result: 0.000021119 seconds.
Time result: 0.000018586 seconds.
Time result: 0.000016180 seconds.
Time result: 0.000013574 seconds.
Time result: 0.000011149 seconds.
Time result: 0.000008254 seconds.
Time result: 0.000005694 seconds.
Time result: 0.000003003 seconds.
Time result: 0.000000884 seconds.
Time result: 0.000000758 seconds.
Time result: 0.000037668 seconds.
Time result: 0.000035318 seconds.
Time result: 0.000032309 seconds.
Time result: 0.000029621 seconds.
Time result: 0.000026970 seconds.
Time result: 0.000024255 seconds.
Time result: 0.000021968 seconds.
Time result: 0.000019289 seconds.
Time result: 0.000016424 seconds.
Time result: 0.000013343 seconds.
Time result: 0.000010479 seconds.
Time result: 0.000007150 seconds.
Time result: 0.000002789 seconds.
Time result: 0.000001757 seconds.
Time result: 0.000000927 seconds.
Time result: 0.000036352 seconds.
Time result: 0.000033577 seconds.
Time result: 0.000031165 seconds.
Time result: 0.000028675 seconds.
Time result: 0.000026197 seconds.
Time result: 0.000023761 seconds.
Time result: 0.000020936 seconds.
Time result: 0.000018014 seconds.
Time result: 0.000015027 seconds.
Time result: 0.000012734 seconds.
Time result: 0.000009632 seconds.
Time result: 0.000006656 seconds.
Time result: 0.000003325 seconds.
Time result: 0.000000849 seconds.
Time result: 0.000001366 seconds.
Time result: 0.000035572 seconds.
Time result: 0.000032757 seconds.
Time result: 0.000030000 seconds.
Time result: 0.000027515 seconds.
Time result: 0.000024812 seconds.
Time result: 0.000021829 seconds.
Time result: 0.000019253 seconds.
Time result: 0.000016873 seconds.
Time result: 0.000013828 seconds.
Time result: 0.000011299 seconds.
Time result: 0.000008652 seconds.
Time result: 0.000005755 seconds.
Time result: 0.000002868 seconds.
Time result: 0.000000830 seconds.
Time result: 0.000001227 seconds.
Time result: 0.000035414 seconds.
Time result: 0.000032813 seconds.
Time result: 0.000029529 seconds.
Time result: 0.000027196 seconds.
Time result: 0.000024337 seconds.
