Ready to connect
Subscribed (mid: 1): 0
Time result: 0.000001225 seconds.
Time result: 0.000001207 seconds.
Time result: 0.000001050 seconds.
Time result: 0.000000993 seconds.
Time result: 0.000001015 seconds.
Time result: 0.000001073 seconds.
Time result: 0.000001129 seconds.
Time result: 0.000001004 seconds.
Time result: 0.000001022 seconds.
Time result: 0.000001047 seconds.
Time result: 0.000001062 seconds.
Time result: 0.000001058 seconds.
Time result: 0.000001036 seconds.
Time result: 0.000001073 seconds.
Time result: 0.000028939 seconds.
Time result: 0.000007710 seconds.
Time result: 0.000035638 seconds.
Time result: 0.000016714 seconds.
Time result: 0.000043708 seconds.
Time result: 0.000025745 seconds.
Time result: 0.000004718 seconds.
Time result: 0.000030718 seconds.
Time result: 0.000008304 seconds.
Time result: 0.000001030 seconds.
Time result: 0.000001008 seconds.
Time result: 0.000018834 seconds.
Time result: 0.000039471 seconds.
Time result: 0.000020720 seconds.
Time result: 0.000001951 seconds.
Time result: 0.000027374 seconds.
Time result: 0.000007662 seconds.
Time result: 0.000001015 seconds.
Time result: 0.000001011 seconds.
Time result: 0.000020609 seconds.
Time result: 0.000049334 seconds.
Time result: 0.000022140 seconds.
Time result: 0.000041501 seconds.
Time result: 0.000021084 seconds.
Time result: 0.000043880 seconds.
Time result: 0.000025106 seconds.
Time result: 0.000005193 seconds.
Time result: 0.000031536 seconds.
Time result: 0.000010716 seconds.
Time result: 0.000001045 seconds.
Time result: 0.000001096 seconds.
Time result: 0.000015228 seconds.
Time result: 0.000042474 seconds.
Time result: 0.000008328 seconds.
Time result: 0.000034413 seconds.
Time result: 0.000013478 seconds.
Time result: 0.000038596 seconds.
Time result: 0.000017903 seconds.
Time result: 0.000031819 seconds.
Time result: 0.000010879 seconds.
Time result: 0.000020878 seconds.
Time result: 0.000001002 seconds.
Time result: 0.000023906 seconds.
Time result: 0.000004796 seconds.
Time result: 0.000029600 seconds.
Time result: 0.000011426 seconds.
Time result: 0.000018543 seconds.
Time result: 0.000001076 seconds.
Time result: 0.000020745 seconds.
Time result: 0.999037626 seconds.
Time result: 0.000035967 seconds.
Time result: 0.000010747 seconds.
Time result: 0.000029033 seconds.
Time result: 0.000009104 seconds.
Time result: 0.000031698 seconds.
Time result: 0.000002837 seconds.
Time result: 0.000027483 seconds.
Time result: 0.000001182 seconds.
Time result: 0.000020258 seconds.
Time result: 0.000001656 seconds.
Time result: 0.000025507 seconds.
Time result: 0.000001142 seconds.
Time result: 0.000021994 seconds.
Time result: 0.000003632 seconds.
Time result: 0.000033296 seconds.
Time result: 0.000013497 seconds.
Time result: 0.000023747 seconds.
Time result: 0.000003264 seconds.
Time result: 0.000029227 seconds.
Time result: 0.000011164 seconds.
Time result: 0.000023111 seconds.
Time result: 0.000001394 seconds.
Time result: 0.000025725 seconds.
Time result: 0.000005525 seconds.
Time result: 0.000029284 seconds.
Time result: 0.000006323 seconds.
Time result: 0.000031236 seconds.
Time result: 0.000001013 seconds.
Time result: 0.000025794 seconds.
Time result: 0.000005445 seconds.
Time result: 0.000030688 seconds.
Time result: 0.000012365 seconds.
Time result: 0.000037152 seconds.
Time result: 0.000016287 seconds.
Time result: 0.000037452 seconds.
Time result: 0.000011456 seconds.
Time result: 0.000031556 seconds.
Time result: 0.000013572 seconds.
Time result: 0.000039014 seconds.
Time result: 0.000017965 seconds.
Time result: 0.000045372 seconds.
Time result: 0.000024178 seconds.
Time result: 0.999049400 seconds.
Time result: 0.999030118 seconds.
Time result: 0.000011161 seconds.
Time result: 0.000039560 seconds.
Time result: 0.000021098 seconds.
Time result: 0.000001418 seconds.
Time result: 0.000001184 seconds.
Time result: 0.000001069 seconds.
Time result: 0.000022907 seconds.
Time result: 0.000048525 seconds.
Time result: 0.000022954 seconds.
Time result: 0.000037365 seconds.
Time result: 0.000010549 seconds.
Time result: 0.000034099 seconds.
Time result: 0.000015334 seconds.
Time result: 0.000042769 seconds.
Time result: 0.000024589 seconds.
Time result: 0.000039927 seconds.
Time result: 0.000017457 seconds.
Time result: 0.000032304 seconds.
Time result: 0.000011697 seconds.
Time result: 0.000027918 seconds.
Time result: 0.000003735 seconds.
Time result: 0.000023709 seconds.
Time result: 0.000003364 seconds.
Time result: 0.000025404 seconds.
Time result: 0.000007205 seconds.
Time result: 0.000031614 seconds.
Time result: 0.000005366 seconds.
Time result: 0.000029905 seconds.
Time result: 0.000008443 seconds.
Time result: 0.000033403 seconds.
Time result: 0.000013932 seconds.
Time result: 0.000038057 seconds.
Time result: 0.000019257 seconds.
Time result: 0.000045008 seconds.
